DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
50,200,14.875000000000005,12.68,44.33259953161593%,6.26,[12.23, 26.23],145.775
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,140|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F2', 'F5', 'F1']|,src=16|, dest=92|
DENIED|,141|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F4', 'F5', 'F2']|,src=238|, dest=22|
DENIED|,142|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F2', 'F1', 'F3']|,src=243|, dest=39|
APPROVED|,143|,R143P1|,39.39890710382514%|,10.34|,9.599999999999998|,['F2']|,[251, 384, 317, 309, 27]|
DENIED|,144|,NONE|,NONE|,0|,0|,['F2']|,src=252|, dest=226|
DENIED|,145|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F1', 'F3']|,src=221|, dest=60|
DENIED|,146|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2', 'F3', 'F4']|,src=263|, dest=179|
DENIED|,147|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=230|, dest=139|
DENIED|,148|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F3', 'F1', 'F5']|,src=263|, dest=57|
APPROVED|,149|,R149P1|,63.98907103825137%|,13.030000000000001|,10.5|,['F3', 'F1']|,[45, 315, 362, 311, 31]|
DENIED|,150|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=112|, dest=75|
DENIED|,151|,NONE|,NONE|,0|,0|,['F3', 'F2']|,src=144|, dest=23|
DENIED|,152|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F3', 'F2']|,src=39|, dest=172|
DENIED|,153|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F3', 'F4']|,src=45|, dest=221|
DENIED|,154|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F4']|,src=13|, dest=271|
DENIED|,155|,NONE|,NONE|,0|,0|,['F1', 'F4']|,src=27|, dest=264|
APPROVED|,156|,R156P1|,60.1639344262295%|,16.14|,14.600000000000001|,['F2', 'F3', 'F1']|,[136, 346, 395, 315, 400, 369, 206]|
DENIED|,157|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F2']|,src=251|, dest=271|
DENIED|,158|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F4', 'F5', 'F1']|,src=122|, dest=8|
APPROVED|,159|,R159P1|,35.136612021857914%|,9.22|,9.6|,['F4', 'F2']|,[110, 337, 306, 317, 51]|
DENIED|,160|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F2', 'F5', 'F1']|,src=287|, dest=150|
DENIED|,161|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4', 'F2']|,src=181|, dest=134|
DENIED|,162|,NONE|,NONE|,0|,0|,['F3', 'F5']|,src=102|, dest=41|
DENIED|,163|,NONE|,NONE|,0|,0|,['F3', 'F5']|,src=153|, dest=72|
DENIED|,164|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F4', 'F2']|,src=111|, dest=258|
DENIED|,165|,NONE|,NONE|,0|,0|,['F4']|,src=18|, dest=36|
DENIED|,166|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F2']|,src=153|, dest=175|
DENIED|,167|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=164|, dest=241|
DENIED|,168|,NONE|,NONE|,0|,0|,['F5']|,src=131|, dest=102|
DENIED|,169|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F2', 'F4', 'F5']|,src=57|, dest=54|
APPROVED|,170|,R170P2|,38.32786885245901%|,17.229999999999997|,14.600000000000001|,['F3', 'F4']|,[68, 323, 309, 387, 392, 385, 255]|
DENIED|,171|,NONE|,NONE|,0|,0|,['F3', 'F2']|,src=203|, dest=8|
DENIED|,172|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F1', 'F2']|,src=14|, dest=113|
DENIED|,173|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F3', 'F4', 'F1']|,src=209|, dest=65|
DENIED|,174|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F1']|,src=286|, dest=17|
DENIED|,175|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=108|, dest=182|
APPROVED|,176|,R176P1|,51.857923497267755%|,13.690000000000001|,10.2|,['F3']|,[250, 384, 306, 351, 151]|
DENIED|,177|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F2', 'F3']|,src=65|, dest=103|
DENIED|,178|,NONE|,NONE|,0|,0|,['F3', 'F5']|,src=292|, dest=155|
DENIED|,179|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F1', 'F4', 'F3']|,src=201|, dest=39|
DENIED|,180|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F5', 'F4', 'F3']|,src=193|, dest=59|
DENIED|,181|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F1', 'F5']|,src=153|, dest=137|
DENIED|,182|,NONE|,NONE|,0|,0|,['F2', 'F1']|,src=285|, dest=5|
DENIED|,183|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F2', 'F1', 'F5']|,src=289|, dest=19|
DENIED|,184|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F2']|,src=281|, dest=18|
APPROVED|,185|,R185P1|,50.1639344262295%|,14.14|,11.500000000000002|,['F1']|,[209, 370, 377, 367, 394, 280]|
DENIED|,186|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2']|,src=67|, dest=47|
