DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
53,197,16.125094339622642,15.311320754716983,28.802949094776682%,7.452830188679245,[41.77333333333333, 55.77333333333333],142.34107142857144
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,112|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F2', 'F5', 'F1']|,src=456|,dest=549|
DENIED|,113|,NONE|,NONE%|,0|,0|,['F5', 'F2']|,src=564|,dest=455|
APPROVED|,114|,R114P1|,30.853949329359168%|,12.03|,12.1|,['F2', 'F3']|,[211, 16, 17, 18, 19, 225]|
DENIED|,115|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F1']|,src=322|,dest=253|
APPROVED|,116|,R116P2|,31.455641272902607%|,16.47|,19.000000000000004|,['F1', 'F3']|,[433, 71, 31, 70, 30, 29, 28, 66, 414]|
DENIED|,117|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4', 'F1']|,src=372|,dest=269|
DENIED|,118|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2', 'F3', 'F4']|,src=181|,dest=340|
DENIED|,119|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5', 'F1', 'F4']|,src=535|,dest=304|
DENIED|,120|,NONE|,NONE%|,0|,0|,['F1']|,src=498|,dest=355|
DENIED|,121|,NONE|,NONE%|,0|,0|,['F5']|,src=258|,dest=376|
DENIED|,122|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2', 'F1']|,src=244|,dest=308|
DENIED|,123|,NONE|,NONE%|,0|,0|,['F2', 'F4']|,src=415|,dest=306|
APPROVED|,124|,R124P2|,33.830390920554855%|,12.489999999999998|,14.199999999999998|,['F1']|,[167, 5, 19, 18, 45, 100, 549]|
DENIED|,125|,NONE|,NONE%|,0|,0|,['F5']|,src=323|,dest=359|
APPROVED|,126|,R126P7|,43.091945830363514%|,25.07|,24.8|,['F1']|,[427, 70, 30, 10, 1, 2, 3, 16, 42, 43, 96, 531]|
APPROVED|,127|,R127P2|,38.4702329594478%|,21.02|,21.400000000000002|,['F1']|,[478, 82, 36, 13, 2, 3, 16, 17, 44, 323]|
DENIED|,128|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F1', 'F5', 'F2']|,src=452|,dest=474|
DENIED|,129|,NONE|,NONE%|,0|,0|,['F2']|,src=545|,dest=280|
DENIED|,130|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F2']|,src=354|,dest=340|
DENIED|,131|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5', 'F2', 'F4']|,src=493|,dest=544|
DENIED|,132|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=569|,dest=293|
DENIED|,133|,NONE|,NONE%|,0|,0|,['F4']|,src=342|,dest=293|
DENIED|,134|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F3']|,src=434|,dest=594|
DENIED|,135|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=318|,dest=260|
DENIED|,136|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F4']|,src=597|,dest=346|
DENIED|,137|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F3']|,src=470|,dest=246|
APPROVED|,138|,R138P5|,36.82226056945643%|,22.35|,21.1|,['F1']|,[569, 105, 48, 19, 18, 17, 16, 15, 14, 206]|
DENIED|,139|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5', 'F3']|,src=553|,dest=534|
DENIED|,140|,NONE|,NONE%|,0|,0|,['F2']|,src=199|,dest=386|
APPROVED|,141|,R141P1|,30.20566318926975%|,13.950000000000001|,12.5|,['F1']|,[356, 52, 51, 50, 109, 583]|
DENIED|,142|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F4']|,src=195|,dest=313|
DENIED|,143|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F4', 'F2']|,src=208|,dest=344|
APPROVED|,144|,R144P3|,36.783732660781844%|,12.279999999999998|,14.1|,['F3']|,[249, 25, 24, 23, 22, 21, 231]|
DENIED|,145|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5', 'F3', 'F4']|,src=379|,dest=429|
APPROVED|,146|,R146P2|,18.89865871833085%|,16.27|,12.1|,['F4', 'F2', 'F3', 'F1', 'F5']|,[158, 2, 13, 12, 33, 279]|
DENIED|,147|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5']|,src=536|,dest=454|
DENIED|,148|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=404|,dest=547|
DENIED|,149|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1', 'F4']|,src=511|,dest=381|
APPROVED|,150|,R150P3|,23.7875157629256%|,15.2|,15.1|,['F5', 'F4']|,[316, 42, 41, 40, 39, 38, 300]|
DENIED|,151|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F2', 'F3']|,src=537|,dest=465|
DENIED|,152|,NONE|,NONE%|,0|,0|,['F5', 'F2']|,src=506|,dest=565|
DENIED|,153|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F1', 'F5']|,src=344|,dest=378|
DENIED|,154|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3', 'F4']|,src=280|,dest=512|
DENIED|,155|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F4', 'F3']|,src=499|,dest=465|
DENIED|,156|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=346|,dest=329|
DENIED|,157|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F2', 'F5']|,src=447|,dest=381|
APPROVED|,158|,R158P1|,24.317850637522767%|,10.24|,9.9|,['F5', 'F2']|,[359, 53, 22, 6, 174]|
DENIED|,159|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=359|,dest=377|
DENIED|,160|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F3']|,src=423|,dest=501|
DENIED|,161|,NONE|,NONE%|,0|,0|,['F4']|,src=341|,dest=322|
APPROVED|,162|,R162P1|,22.031876138433514%|,7.930000000000001|,9.1|,['F2']|,[536, 97, 44, 45, 327]|
DENIED|,163|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=417|,dest=331|
DENIED|,164|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=276|,dest=387|
DENIED|,165|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4']|,src=416|,dest=209|
APPROVED|,166|,R166P7|,33.389149102263865%|,25.69|,23.400000000000002|,['F3']|,[414, 66, 28, 29, 30, 11, 12, 13, 36, 81, 474]|
DENIED|,167|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F5']|,src=270|,dest=184|
DENIED|,168|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F3', 'F1']|,src=456|,dest=178|
DENIED|,169|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5', 'F1', 'F4']|,src=393|,dest=383|
APPROVED|,170|,R170P2|,24.076292559899116%|,14.84|,14.6|,['F4']|,[556, 102, 46, 45, 99, 98, 541]|
DENIED|,171|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=516|,dest=229|
APPROVED|,172|,R172P1|,32.62610340479193%|,16.41|,14.100000000000001|,['F3', 'F1']|,[582, 108, 49, 48, 47, 103, 560]|
DENIED|,173|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2', 'F3']|,src=519|,dest=245|
APPROVED|,174|,R174P3|,35.20179547228728%|,21.339999999999996|,23.299999999999997|,['F2']|,[558, 102, 46, 18, 17, 16, 15, 14, 37, 84, 485]|
APPROVED|,175|,R175P1|,26.84426229508197%|,9.75|,9.799999999999999|,['F2']|,[283, 34, 35, 36, 292]|
DENIED|,176|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4']|,src=197|,dest=244|
APPROVED|,177|,R177P2|,27.28562421185372%|,15.91|,14.0|,['F1', 'F3']|,[463, 79, 78, 34, 33, 32, 278]|
DENIED|,178|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F5', 'F1']|,src=249|,dest=452|
DENIED|,179|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F2', 'F1']|,src=347|,dest=408|
APPROVED|,180|,R180P1|,36.21938283510126%|,15.249999999999998|,19.000000000000004|,['F1']|,[369, 55, 23, 7, 6, 5, 19, 47, 337]|
DENIED|,181|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5', 'F4']|,src=576|,dest=185|
DENIED|,182|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=460|,dest=483|
DENIED|,183|,NONE|,NONE%|,0|,0|,['F5']|,src=396|,dest=240|
DENIED|,184|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=433|,dest=231|
DENIED|,185|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F2']|,src=188|,dest=232|
APPROVED|,186|,R186P2|,27.4568306010929%|,19.27|,15.099999999999998|,['F4', 'F1']|,[562, 103, 47, 19, 20, 21, 22, 236]|
DENIED|,187|,NONE|,NONE%|,0|,0|,['F2', 'F4']|,src=204|,dest=419|
DENIED|,188|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4', 'F1']|,src=454|,dest=541|
DENIED|,189|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F3']|,src=521|,dest=490|
DENIED|,190|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F5', 'F4']|,src=366|,dest=391|
DENIED|,191|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4', 'F5']|,src=343|,dest=179|
APPROVED|,192|,R192P2|,37.815300546448086%|,19.39|,16.7|,['F3', 'F1', 'F2']|,[438, 72, 31, 70, 30, 29, 67, 415]|
DENIED|,193|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5']|,src=182|,dest=329|
DENIED|,194|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5', 'F1', 'F3']|,src=558|,dest=440|
DENIED|,195|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1', 'F4', 'F2']|,src=355|,dest=258|
DENIED|,196|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F5', 'F2']|,src=227|,dest=293|
DENIED|,197|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F1']|,src=191|,dest=371|
DENIED|,198|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1', 'F4', 'F2']|,src=371|,dest=360|
DENIED|,199|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5', 'F2', 'F4']|,src=535|,dest=482|
APPROVED|,200|,R200P9|,33.047042052744125%|,22.9|,26.2|,['F1']|,[596, 112, 51, 21, 6, 5, 4, 17, 43, 42, 93, 520]|
DENIED|,201|,NONE|,NONE%|,0|,0|,['F4']|,src=578|,dest=531|
DENIED|,202|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4']|,src=533|,dest=335|
DENIED|,203|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4']|,src=423|,dest=312|
DENIED|,204|,NONE|,NONE%|,0|,0|,['F4']|,src=261|,dest=378|
APPROVED|,205|,R205P1|,24.230998509687037%|,16.259999999999998|,12.1|,['F5', 'F1', 'F2', 'F4']|,[429, 70, 30, 11, 12, 198]|
DENIED|,206|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=546|,dest=348|
DENIED|,207|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F5']|,src=384|,dest=581|
DENIED|,208|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F1']|,src=240|,dest=408|
DENIED|,209|,NONE|,NONE%|,0|,0|,['F2']|,src=173|,dest=167|
DENIED|,210|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3', 'F4', 'F2']|,src=331|,dest=518|
